,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
8825,2025,3,FT,Consultant,72000,US,0,US,2
8826,2025,1,FT,Data Analyst,18315,SK,0,SK,2
8828,2025,3,FT,Machine Learning Scientist,125000,CA,0,CA,2
8829,2025,3,FT,Machine Learning Scientist,105500,CA,0,CA,2
8832,2025,2,FT,AI Researcher,440000,US,0,US,2
8833,2025,2,FT,AI Researcher,180000,US,0,US,2
8834,2025,1,FT,AI Researcher,440000,US,0,US,2
8835,2025,1,FT,AI Researcher,180000,US,0,US,2
8840,2025,3,FT,BI Developer,110424,US,100,US,2
8841,2025,3,FT,BI Developer,59282,US,100,US,2
8842,2025,2,FT,Systems Engineer,440000,US,0,US,2
8843,2025,2,FT,Systems Engineer,180000,US,0,US,2
8846,2025,4,FT,Data Governance,399100,US,0,US,2
8847,2025,4,FT,Data Governance,214900,US,0,US,2
8848,2025,3,FT,Engineer,364320,US,0,US,2
8849,2025,3,FT,Engineer,215280,US,0,US,2
8850,2025,2,FT,Engineering Manager,177215,GB,0,GB,2
8851,2025,2,FT,Engineering Manager,145569,GB,0,GB,2
8852,2025,1,FT,Research Scientist,166000,US,100,US,2
8853,2025,1,FT,Research Scientist,63000,US,100,US,2
8856,2025,3,FT,Associate,145500,US,0,US,2
8857,2025,3,FT,Associate,127500,US,0,US,2
8862,2025,2,FT,Engineer,193390,US,0,US,2
8863,2025,2,FT,Engineer,136990,US,0,US,2
8864,2025,2,FT,Manager,136800,CA,0,CA,2
8865,2025,2,FT,Manager,91200,CA,0,CA,2
8866,2025,3,FT,Research Scientist,303000,US,0,US,2
8867,2025,3,FT,Research Scientist,173100,US,0,US,2
8872,2025,3,FT,Engineer,304750,US,100,US,2
8874,2025,3,FT,Engineer,310500,US,0,US,2
8882,2025,1,FT,Platform Engineer,151250,US,0,US,2
8883,2025,1,FT,Platform Engineer,90750,US,0,US,2
8884,2025,4,FT,Executive,379600,US,0,US,2
8885,2025,4,FT,Executive,204400,US,0,US,2
8886,2025,4,FT,Data Engineer,250000,US,100,US,2
